input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_synonym_count,gbif_english_name,gbif_english_names,gbif_english_name_count,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence,wfo_taxon_id,wfo_id_method,wfo_query_used,wfo_url,wfo_habitat,wfo_native_distribution,wfo_distribution_raw,wfo_distribution_label,wfo_habitat_label
Acacia collinsii Saff.,EXACT,100,Acacia collinsii,Acacia collinsii,Acacia collinsii Saff.,2980971,,0,bull horn acacia,bull horn acacia,1,,,0,0,none,wfo-0000182077,matching_api,Acacia collinsii,https://www.worldfloraonline.org/taxon/wfo-0000182077,Life Form,,,,habitat
Acalypha hispida Burm.f.,EXACT,100,Acalypha hispida,Acalypha hispida,Acalypha hispida Burm.f.,3056375,Acalypha densiflora Blume | Acalypha hispida var. sanderi (N.E.Br.) J.J.Sm. | Acalypha sanderi K.Schum. | Acalypha sanderi N.E.Br. | Acalypha sanderi subsp. alba Sander,5,chenilleplant,Moukiana mkomba | Philippine-medusa | Red-Hot Cat's Tail | bristly copperleaf | chenille plant | chenilleplant,6,Christmas Island | Colombia,CO | CX,2,2,very_low,wfo-0000950668,matching_api,Acalypha hispida,https://www.worldfloraonline.org/taxon/wfo-0000950668,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Acorus gramineus Ait. 'Variegatus',EXACT,94,Acorus gramineus,Acorus gramineus,Acorus gramineus Aiton,2873807,Acorus gramineus subsp. gramineus | Acorus gramineus subsp. japonica M.Hotta | Acorus gramineus subsp. macrospadiceus Yamam. | Acorus gramineus subsp. pusillus (Siebold) Engl. | Acorus gramineus var. flavomarginatus T.S.Liu | Acorus gramineus var. japonicus M.Hotta | Acorus gramineus var. macrospadiceus Yamam. | Acorus gramineus var. pusillus (Siebold) Engl. | Acorus humilis Salisb. | Acorus macrospadiceus (Yamam.) F.N.Wei & Y.K.Li | Acorus pusillus Siebold | Acorus pusillus Siebold ex Miq. | Acorus tatarinowii var. flavomarginatus T.S.Liu | Acorus xiangyeus Z.Y.Zhu | Acorus ziangyeus Z.Y.Zhu,15,Slender Sweet-flag,Grass-leaf sweet flag | Grassleaf Sweet Flag | Slender Sweet-flag | grass-leaf sweet-flag | jin qian pu,5,Chinese Taipei | Japan | Viet Nam,JP | TW | VN,11,11,low,wfo-0000352676,matching_api,Acorus gramineus,https://www.worldfloraonline.org/taxon/wfo-0000352676,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Adenanthera microsperma Teijsm. et Binn.,EXACT,100,Adenanthera microsperma,Adenanthera microsperma,Adenanthera microsperma Teijsm. & Binn.,2951851,Adenanthera pavonina subsp. microsperma (Teijsm. & Binnend.) Nielsen. | Adenanthera pavonina var. microsperma (Teijsm. & Binn.) I.C.Nielsen | Adenanthera tamarindifolia Pierre,3,phai,bon see | chreh phnôm | phai,3,,,0,0,none,wfo-0000187373,matching_api,Adenanthera microsperma,https://www.worldfloraonline.org/taxon/wfo-0000187373,Life Form tree Provided by: [F].Global Tree Search,Introduced distribution,Introduced distribution,native distribution,habitat
Aglaonema costatum N.E.Br.,EXACT,100,Aglaonema costatum,Aglaonema costatum,Aglaonema costatum N.E.Br.,2866357,Aglaonema costatum f. concolor Nicolson | Aglaonema costatum f. costatum | Aglaonema costatum f. foxii (Engl.) Jervis | Aglaonema costatum f. immaculatum (Ridl.) Nicolson | Aglaonema costatum f. virescens (Ridl. ex Engl.) Nicolson | Aglaonema costatum var. foxii Engl. | Aglaonema costatum var. immaculatum (Ridl.) Nicolson | Aglaonema costatum var. immaculatum Ridl. | Aglaonema costatum var. lineatum Engl. | Aglaonema costatum var. maculatum Engl. | Aglaonema costatum var. virescens Ridl. | Aglaonema costatum var. virescens Ridl. ex Engl.,12,Fox's aglaonema,Chinese evergreen | Fox's aglaonema | spotted evergreen,3,,,0,0,none,wfo-0000917172,matching_api,Aglaonema costatum,https://www.worldfloraonline.org/taxon/wfo-0000917172,Life Form,,,,habitat
Aglaonema modestum Schott ex Engl.,EXACT,100,Aglaonema modestum,Aglaonema modestum,Aglaonema modestum Schott ex Engl.,2866488,Aglaonema acutispathum N.E.Br. | Aglaonema costatum subsp. viride Engl. | Aglaonema costatum var. viride Engl. | Aglaonema laoticum Gagnep. | Aglaonema modestum Schott,5,Japanese-leaf,Chinese evergreen | Japanese-leaf,2,,,0,0,none,wfo-0000921877,matching_api,Aglaonema modestum,https://www.worldfloraonline.org/taxon/wfo-0000921877,Life Form,,,,habitat
Aglaonema nitidum (Jack) Kunth 'Silver King',EXACT,96,Aglaonema nitidum,Aglaonema nitidum,Aglaonema nitidum (Jack) Kunth,2866438,Aglaonema helferi Hook.f. | Aglaonema integrifolium (Link) Schott | Aglaonema nitidum f. cinereum Jervis | Aglaonema nitidum f. curtisiae (N.E.Br.) Nicolson | Aglaonema nitidum f. curtisii (N.E.Br.) Nicolson | Aglaonema nitidum var. nitidum | Aglaonema oblanceolatum Alderw. | Aglaonema oblanceolatum f. maximum Alderw. | Aglaonema oblongifolium Schott | Aglaonema oblongifolium var. curtisiae N.E.Br. | Aglaonema oblongifolium var. curtisii N.E.Br. | Aglaonema princeps Kunth,12,aglaonema aroid,aglaonema aroid,1,,,0,0,none,wfo-0000922580,matching_api,Aglaonema nitidum,https://www.worldfloraonline.org/taxon/wfo-0000922580,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Allamanda schottii Pohl.,EXACT,100,Allamanda schottii,Allamanda schottii,Allamanda schottii Pohl,3169838,Allamanda brasiliensis Schott | Allamanda brasiliensis Schott ex Pohl | Allamanda cathartica Schrad. | Allamanda cathartica var. schottii (Pohl) L.H.Bailey & Raffill | Allamanda magnifica Williams | Allamanda neriifolia Hook.,6,Bush Allamanda,Bush Allamanda,1,Brazil,BR,124,124,medium,wfo-0000943350,matching_api,Allamanda schottii,https://www.worldfloraonline.org/taxon/wfo-0000943350,Life Form,,,,habitat
Alpinia purpurata (Viell.) Schum.,EXACT,100,Alpinia purpurata,Alpinia purpurata,Alpinia purpurata (Vieill.) K.Schum.,5301960,Alpinia grandis K.Schum. | Alpinia purpurata subsp. albobracteata K.Schum. | Alpinia purpurata subsp. anomala Gagnep. | Alpinia purpurata subsp. grandis (K.Schum.) K.Schum. | Alpinia purpurata var. albobracteata K.Schum. | Alpinia purpurata var. anomala Gagnep. | Alpinia purpurata var. grandis (K.Schum.) K.Schum.,7,Red Ginger,"Opuhi | Red Ginger | Sari sakai viro, Sari longoza | Sari tsingizo masera | red-ginger",5,Fiji | French Polynesia,FJ | PF,3,3,very_low,wfo-0000338713,matching_api,Alpinia purpurata,https://www.worldfloraonline.org/taxon/wfo-0000338713,Life Form,,,,habitat
Alpinia vittata Bull.,EXACT,100,Alpinia vittata,Alpinia vittata,Alpinia vittata W.Bull,5302160,Alpinia albo-lineata | Alpinia sanderae Sander | Alpinia tricolor Sander,3,variegate-ginger,variegate-ginger,1,,,0,0,none,wfo-0000338842,matching_api,Alpinia vittata,https://www.worldfloraonline.org/taxon/wfo-0000338842,Life Form,,,,habitat
Alpinia zerumbet (Pers.) B. L. Burtt et Rosemary M. Sm.,EXACT,100,Alpinia zerumbet,Alpinia zerumbet,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,5301979,Alpinia cristata Griff. | Alpinia fimbriata Gagnep. | Alpinia fluvitialis Hayata | Alpinia nutans var. longiramosa Gagnep. | Alpinia penicillata Roscoe | Alpinia schumanniana Valeton | Alpinia speciosa (J.C.Wendl.) K.Schum. | Alpinia speciosa subsp. longiramosa Gagnep. | Alpinia speciosa var. longiramosa Gagnep.,9,Shellplant,Kopi ‘enua | Sakai viro lambo | Shell Ginger | Shellplant | Tsingizo masera | kaopui | light galangal | pink porcelain-lily,8,Chinese Taipei,TW,49,49,low,wfo-0000338850,matching_api,Alpinia zerumbet,https://www.worldfloraonline.org/taxon/wfo-0000338850,Terrícola Provided by: [ B ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,,,,habitat
Alpinia zerumbet (Pers.) B. L. Burtt et Rosemary M. Sm. 'Variegata',EXACT,94,Alpinia zerumbet,Alpinia zerumbet,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,5301979,Alpinia cristata Griff. | Alpinia fimbriata Gagnep. | Alpinia fluvitialis Hayata | Alpinia nutans var. longiramosa Gagnep. | Alpinia penicillata Roscoe | Alpinia schumanniana Valeton | Alpinia speciosa (J.C.Wendl.) K.Schum. | Alpinia speciosa subsp. longiramosa Gagnep. | Alpinia speciosa var. longiramosa Gagnep.,9,Shellplant,Kopi ‘enua | Sakai viro lambo | Shell Ginger | Shellplant | Tsingizo masera | kaopui | light galangal | pink porcelain-lily,8,Chinese Taipei,TW,49,49,low,wfo-0000338850,matching_api,Alpinia zerumbet,https://www.worldfloraonline.org/taxon/wfo-0000338850,Terrícola Provided by: [ B ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,,,,habitat
Ananas comosus (L.) Merr.,EXACT,100,Ananas comosus,Ananas comosus,Ananas comosus (L.) Merr.,5288819,Ananas acostae C.Commelijn | Ananas bracteatus Baker | Ananas bracteatus subsp. hondurensis Bertoni | Ananas bracteatus subsp. paraguayensis Bertoni | Ananas bracteatus var. paraguayensis Bertoni | Ananas coccineus Descourt. | Ananas comosus subsp. variegatus (Lowe) Moldenke | Ananas glaber Mill. | Ananas monstrosus Baker | Ananas mordilona (Linden) E.Morren | Ananas mordilona (Linden) VanGeert | Ananas ovatus Mill. | Ananas proliferus Baker | Ananas pyramidalis Mill. | Ananas sativa Lindl. | Ananas sativus subsp. hispanorum Bertoni | Ananas sativus subsp. muricatus Mez | Ananas sativus subsp. pyramidalis Bertoni | Ananas sativus subsp. variegatus Lowe | Ananas sativus subsp. viridis (Mill.) Bertoni,20,Pineapple,"Ijibo | Mnananasi bole, Mnananasi mba | Pineapple",3,Afghanistan | Argentina | Bolivia (Plurinational State of) | Brazil | Colombia | France | French Guiana | Guyana | Paraguay | Suriname | Venezuela (Bolivarian Republic of),AF | AR | BO | BR | CO | FR | GF | GY | PY | SR | VE,1231,900,high,wfo-0000339432,matching_api,Ananas comosus,https://www.worldfloraonline.org/taxon/wfo-0000339432,Terrícola Provided by: [ A ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Angraecum eburneum Bory,EXACT,100,Angraecum eburneum,Angraecum eburneum,Angraecum eburneum Bory,2833834,,0,,,0,Seychelles,SC,16,16,low,wfo-0000976619,matching_api,Angraecum eburneum,https://www.worldfloraonline.org/taxon/wfo-0000976619,Life Form,,,,habitat
Anthurium digitatum (Jacq.) G.Don f.,EXACT,85,Anthurium digitatum,Anthurium digitatum,Anthurium digitatum (Jacq.) Schott,2872987,"Anthurium digitatum (Jacq.) G.Don, 1839 | Anthurium digitatum var. connatum Engl. | Anthurium pentaphyllum var. digitatum (Jacq.) Madison",3,,,0,,,0,0,none,wfo-0000224360,matching_api,Anthurium digitatum,https://www.worldfloraonline.org/taxon/wfo-0000224360,Life Form,,,,habitat
Anthurium schlechtendalii Kunth,EXACT,100,Anthurium schlechtendalii,Anthurium schlechtendalii,Anthurium schlechtendalii Kunth,2872288,,0,Laceleaf,Laceleaf,1,Colombia,CO,2,2,very_low,wfo-0000232488,matching_api,Anthurium schlechtendalii,https://www.worldfloraonline.org/taxon/wfo-0000232488,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Anthurium vittariifolium Engl.,EXACT,100,Anthurium vittariifolium,Anthurium vittariifolium,Anthurium vittariifolium Engl.,2873406,,0,,,0,Brazil,BR,2,2,very_low,wfo-0000234460,matching_api,Anthurium vittariifolium,https://www.worldfloraonline.org/taxon/wfo-0000234460,Epífita Provided by: [ B ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,,,,habitat
