ACAN Acanthaceae medvekörömfélék
ACOR Acoraceae kálmosfélék
ACTI Actinidiaceae küllőfolyondárfélék
ADIAN Adiantaceae vénuszfodorkafélék
ADOX Adoxaceae pézsmaboglárfélék
AIZO Aizoaceae kristályvirágfélék
ALISM Alismataceae hídőrfélék
ALTING Altingiaceae ámbrafafélék
AMAR Amaranthaceae disznóparéjfélék
AMARY Amaryllidaceae amarilliszfélék
ANAC Anacardiaceae szömörcefélék
ANNON Annonaceae annónafélék
APIA Apiaceae ernyősök
APOC Apocynaceae meténgfélék
AQUI Aquifoliaceae magyalfélék
ARAC Araceae kontyvirágfélék
ARAL Araliaceae aráliafélék
ARAU Araucariaceae araukáriafélék
AREC Arecaceae pálmafélék
ARIST Aristolochiaceae farkasalmafélék
ASPAR Asparagaceae spárgafélék
ASPL Aspleniaceae fodorkafélék
ASTE Asteraceae fészkesek
BALS Balsaminaceae nebáncsvirágfélék
BASE Basellaceae bazellafélék
BEGO Begoniaceae begóniafélék
BERB Berberidaceae sóskaborbolyafélék
BERBS Berberidopsidacae korallborbolyafélék
BETU Betulaceae nyírfafélék
BIGN Bignoniaceae bignóniafélék
BLECH Blechnaceae bordapáfrányfélék
BORA Boraginaceae érdeslevelűek
BRAS Brassicaceae keresztesvirágúak
BROM Bromeliaceae broméliafélék
BUXA Buxaceae puszpángfélék
BYBLI Byblidaceae szivárványlevélfélék
CACT Cactaceae kaktuszfélék
CALCE Calceolariaceae papucsvirágfélék
CALO Calophyllaceae kalabafélék
CALY Calycanthaceae fűszercserjefélék
CAMP Campanulaceae harangvirágfélék
CANN Cannaceae kannafélék
CANNB Cannabaceae kenderfélék
CAPPA Capparidaceae kaprifélék
CAPRI Caprifoliaceae loncfélék
CARI Caricaceae dinnyefafélék
CARYO Caryophyllaceae szegfűfélék
CASU Casuarinaceae kazuárfafélék
CELAS Celastraceae kecskerágófélék
CEPH Cephalotaxaceae áltiszafafélék
CERCI Cercidiphyllaceae kacsurafafélék
CISTA Cistaceae szuharfélék
CLUS Clusiaceae ördögfügefélék
COLCH Colchicaceae kikericsfélék
COMB Combretaceae nyálkafafélék
COMM Commelinaceae kommelinafélék
CONV Convolvulaceae szulákfélék
CORN Cornaceae somfélék
CORYN Corynocarpaceae kecskerágófafélék
COSTA Costaceae csavartgyömbérfélék
CRASS Crassulaceae varjúhájfélék
CUCU Cucurbitaceae tökfélék
CUPR Cupressaceae ciprusfélék
CYATH Cyatheaceae serlegpáfrányfélék
CYCA Cycadaceae cikászfélék
CYCL Cyclanthaceae villáspálmafélék
CYPER Cyperaceae sásfélk
DAPH Daphniphyllaceae boroszlánkutyatejfélék
DAVAL Davalliaceae korsópáfrányfélék
DICKS Dicksoniaceae hópáfrányfafélék
DIOSC Dioscoreaceae piritógyökérfélék
DROS Droseraceae harmatfűfélék
DRYO Dryopteridaceae pajzsikafélék
EBEN Ebenaceae ébenfafélék
ELAEA Elaeagnaceae ezüstfafélék
EPHE Ephedraceae csikófarkfélék
EQUI Equisetaceae zsurlófélék
ERICA Ericaceae erikafélék
ERYTH Erythroxylaceae vörösfafélék
ESCAL Escalloniaceae kőtörőcserjefélék
EUCO Eucommiaceae gumiszilfélék
EUPH Euphorbiaceae kutyatejfélék
FABA Fabaceae pillangósvirágúak
FAGA Fagaceae bükkfélék
GARR Garryaceae barkamirtuszfélék
GENTI Gentianaceae tárnicsfélék
GERA Geraniaceae gólyaorrfélék
GESN Gesneriaceae bársonylevélfélék
GINK Ginkgoaceae páfrányfenyőfélék
GNET Gnetaceae gnétumfélék
GREY Greyiaceae skarlátcserjefélék
GROS Grossulariaceae ribiszkefélék
GUNN Gunneracea óriáslapufélék
HAEMO Haemodoraceae vérnárciszfélék
HAMA Hamamelidaceae csodamogyorófélék
HELI Heliconiaceae hamisbanánfélék
HELW Helwingiaceae magyalsomfélék
HYDRA Hydrangeaceae hortenziafélék
HYDRO Hydrophyllaceae méhvirágfélék
HYPE Hypericaeae orbáncfűfélék
HYPO Hypoxidaceae ormányliliomfélék
IRID Iridaceae nősziromfélék
JUGL Juglandaceae diófélék
JUNC Juncaceae szittyófélék
LAMI Lamiaceae ajakosok
LARDI Lardizabalaceae kékhüvelyfélék
LAUR Lauraceae babérfélék
LECY Lecythidaceae fazékfafélék
LENTI Lentibulariaceae rencefélék
LILIA Liliaceae liliomfélék
LINA Linaceae lenfélék
LOMAR Lomariopsidaceae elefántfülpáfrányfélék
LORA Loranthaceae fagyöngyfélék
LYCOP Lycopodiaceae korpafűfélék
LYTHR Lythraceae füzényfélék
MAGN Magnoliaceae liliomfafélék
MALV Malvaceae mályvafélék
MARAN Marantaceae nyílgyökérfélék
MARTY Martyniaceae szezámfélék
MELA Melanthiaceae zászpafélék
MELAS Melastomataceae díszlevélfélék
