input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_english_name,gbif_english_names,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence,wfo_taxon_id,wfo_query_used,wfo_url,wfo_native_areas_found_in,wfo_native_countries,powo_native,powo_url,powo_taxon_id,powo_error
Acacia collinsii Saff.,EXACT,100,Acacia collinsii,Acacia collinsii,Acacia collinsii Saff.,2980971,,bull horn acacia,bull horn acacia,,,0,0,none,wfo-0000182077,Acacia collinsii,https://www.worldfloraonline.org/taxon/wfo-0000182077,,,"International Plant Names Index Nomenclatural data for the scientific names of vascular plants | International Plant Names Index | Nomenclatural data for the scientific names of vascular plants | Tree of Life Explorer A comprehensive evolutionary tree of life for flowering plants | Tree of Life Explorer | A comprehensive evolutionary tree of life for flowering plants | Medicinal Plant Names Services A global database of names used for herbal drugs, products and medicinal plants | Medicinal Plant Names Services | A global database of names used for herbal drugs | products and medicinal plants | Plant DNA C-values Database Genome size (C-value) data for >12,000 plant and algal species | Plant DNA C-values Database | Genome size (C-value) data for >12 | 000 plant and algal species | Tropical Important Plant Areas Discover more about critical sites for plant diversity in the tropics | Tropical Important Plant Areas | Discover more about critical sites for plant diversity in the tropics | Featured Tree of Life Explorer Discover the flowering plant tree of life and the genomic data used to build it. | Featured | Discover the flowering plant tree of life and the genomic data used to build it. | Let us know what you think! | Acacia collinsii | Saff. | First published in Science | n.s. | nom. cons. | This name is a synonym of | Vachellia collinsii",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A446-2,urn:lsid:ipni.org:names:446-2,
Acalypha hispida Burm.f.,EXACT,100,Acalypha hispida,Acalypha hispida,Acalypha hispida Burm.f.,3056375,Acalypha densiflora Blume | Acalypha hispida var. sanderi (N.E.Br.) J.J.Sm. | Acalypha sanderi K.Schum. | Acalypha sanderi N.E.Br. | Acalypha sanderi subsp. alba Sander,chenilleplant,Moukiana mkomba | Philippine-medusa | Red-Hot Cat's Tail | bristly copperleaf | chenille plant | chenilleplant,Christmas Island | Colombia,CO | CX,2,2,very_low,wfo-0000950668,Acalypha hispida,https://www.worldfloraonline.org/taxon/wfo-0000950668,Asia-Tropical Papuasia Bismarck Archipelago | Asia-Tropical | Papuasia | Bismarck Archipelago,Papua New Guinea,"Bismarck Archipelago
Introduced into:
Andaman Is. | Bangladesh | Benin | Burundi | Caroline Is. | Cayman Is. | Comoros | Cook Is. | Cuba | Dominican Republic | Ecuador | Equatorial Guinea | Gambia | Gilbert Is. | Gulf of Guinea Is. | Haiti",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A337478-1,urn:lsid:ipni.org:names:337478-1,
Acorus gramineus Ait. 'Variegatus',EXACT,94,Acorus gramineus,Acorus gramineus,Acorus gramineus Aiton,2873807,Acorus gramineus subsp. gramineus | Acorus gramineus subsp. japonica M.Hotta | Acorus gramineus subsp. macrospadiceus Yamam. | Acorus gramineus subsp. pusillus (Siebold) Engl. | Acorus gramineus var. flavomarginatus T.S.Liu | Acorus gramineus var. japonicus M.Hotta | Acorus gramineus var. macrospadiceus Yamam. | Acorus gramineus var. pusillus (Siebold) Engl. | Acorus humilis Salisb. | Acorus macrospadiceus (Yamam.) F.N.Wei & Y.K.Li | Acorus pusillus Siebold | Acorus pusillus Siebold ex Miq. | Acorus tatarinowii var. flavomarginatus T.S.Liu | Acorus xiangyeus Z.Y.Zhu | Acorus ziangyeus Z.Y.Zhu,Slender Sweet-flag,Grass-leaf sweet flag | Grassleaf Sweet Flag | Slender Sweet-flag | grass-leaf sweet-flag | jin qian pu,Chinese Taipei | Japan | Viet Nam,JP | TW | VN,11,11,low,wfo-0000352676,Acorus gramineus,https://www.worldfloraonline.org/taxon/wfo-0000352676,Asia-Temperate China China North-Central | Asia-Temperate | China | China North-Central | China South-Central | China Southeast | Hainan | Inner Mongolia | Qinghai | Tibet | Xinjiang | Eastern Asia Japan | Eastern Asia | Japan | Korea | Taiwan | Russian Far East Primorye | Russian Far East | Primorye | Asia-Tropical Indian Subcontinent Bangladesh | Asia-Tropical | Indian Subcontinent | Bangladesh | East Himalaya | Indo-China Cambodia | Indo-China | Cambodia | Laos | Myanmar | Thailand | Vietnam | Malesia Philippines | Malesia | Philippines,United States | People's Republic of China | Taiwan | Tibet | Joseon | Russia | Bangladesh | Cambodia | Laos | Myanmar | Thailand | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Philippines,Bangladesh | Cambodia | China North-Central | China South-Central | China Southeast | East Himalaya | Hainan | Inner Mongolia | Japan | Korea | Laos | Myanmar | Philippines | Primorye | Qinghai | Taiwan | Thailand,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A84019-1,urn:lsid:ipni.org:names:84019-1,
Adenanthera microsperma Teijsm. et Binn.,EXACT,100,Adenanthera microsperma,Adenanthera microsperma,Adenanthera microsperma Teijsm. & Binn.,2951851,Adenanthera pavonina subsp. microsperma (Teijsm. & Binnend.) Nielsen. | Adenanthera pavonina var. microsperma (Teijsm. & Binn.) I.C.Nielsen | Adenanthera tamarindifolia Pierre,phai,bon see | chreh phnôm | phai,,,0,0,none,wfo-0000187373,Adenanthera microsperma,https://www.worldfloraonline.org/taxon/wfo-0000187373,Asia-Temperate China China South-Central | Asia-Temperate | China | China South-Central | China Southeast | Hainan | Eastern Asia Taiwan | Eastern Asia | Taiwan | Asia-Tropical Indo-China Andaman Is. | Asia-Tropical | Indo-China | Andaman Is. | Cambodia | Laos (Doubtful) | Myanmar | Nicobar Is. | Thailand (Doubtful) | Vietnam | Malesia Borneo | Malesia | Borneo | Jawa | Lesser Sunda Is. | Malaya | Sumatera,United States | People's Republic of China | Taiwan | Cambodia | Myanmar | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Canada | Czech Republic | Russia,"Andaman Is. | Borneo | Cambodia | China South-Central | China Southeast | Hainan | Jawa | Lesser Sunda Is. | Malaya | Myanmar | Nicobar Is. | Sumatera | Taiwan | Vietnam
Introduced into:
Jamaica | Mauritius",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A472162-1,urn:lsid:ipni.org:names:472162-1,
Aglaonema costatum N.E.Br.,EXACT,100,Aglaonema costatum,Aglaonema costatum,Aglaonema costatum N.E.Br.,2866357,Aglaonema costatum f. concolor Nicolson | Aglaonema costatum f. costatum | Aglaonema costatum f. foxii (Engl.) Jervis | Aglaonema costatum f. immaculatum (Ridl.) Nicolson | Aglaonema costatum f. virescens (Ridl. ex Engl.) Nicolson | Aglaonema costatum var. foxii Engl. | Aglaonema costatum var. immaculatum (Ridl.) Nicolson | Aglaonema costatum var. immaculatum Ridl. | Aglaonema costatum var. lineatum Engl. | Aglaonema costatum var. maculatum Engl. | Aglaonema costatum var. virescens Ridl. | Aglaonema costatum var. virescens Ridl. ex Engl.,Fox's aglaonema,Chinese evergreen | Fox's aglaonema | spotted evergreen,,,0,0,none,wfo-0000917172,Aglaonema costatum,https://www.worldfloraonline.org/taxon/wfo-0000917172,Asia-Tropical Indian Subcontinent Bangladesh | Indo-China Cambodia | Laos | Thailand | Vietnam | Malesia Malaya | Aglaonema costatum f. concolor Nicolson | Aglaonema costatum f. costatum | Aglaonema costatum f. foxii (Engl.) Jervis | Aglaonema costatum f. immaculatum (Ridl.) Nicolson | Aglaonema costatum f. virescens (Ridl. ex Engl.) Nicolson | Aglaonema costatum var. foxii Engl. | Aglaonema costatum var. immaculatum Ridl. | Aglaonema costatum var. lineatum Engl. | Aglaonema costatum var. maculatum Engl. | Aglaonema costatum var. virescens Ridl. ex Engl. | Asia-Tropical | Indian Subcontinent | Bangladesh | Indo-China | Cambodia | Malesia | Malaya | Synonyms | Aglaonema costatum f. concolor | Nicolson | Aglaonema costatum f. foxii | (Engl.) Jervis | Aglaonema costatum f. immaculatum | (Ridl.) Nicolson | Aglaonema costatum f. virescens | (Ridl. ex Engl.) Nicolson | Aglaonema costatum var. foxii | Engl. | Aglaonema costatum var. immaculatum | Ridl. | Aglaonema costatum var. lineatum | Aglaonema costatum var. maculatum | Aglaonema costatum var. virescens | Ridl. ex Engl.,Laos | Thailand | Vietnam | Bangladesh | Cambodia | Indonesia | Singapore | Timor-Leste | Malaysia | Myanmar | Russia,Bangladesh | Cambodia | Laos | Malaya | Thailand,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A84052-1,urn:lsid:ipni.org:names:84052-1,
Aglaonema modestum Schott ex Engl.,EXACT,100,Aglaonema modestum,Aglaonema modestum,Aglaonema modestum Schott ex Engl.,2866488,Aglaonema acutispathum N.E.Br. | Aglaonema costatum subsp. viride Engl. | Aglaonema costatum var. viride Engl. | Aglaonema laoticum Gagnep. | Aglaonema modestum Schott,Japanese-leaf,Chinese evergreen | Japanese-leaf,,,0,0,none,wfo-0000921877,Aglaonema modestum,https://www.worldfloraonline.org/taxon/wfo-0000921877,Asia-Temperate China China South-Central | China Southeast | Asia-Tropical Indian Subcontinent Bangladesh | Indo-China Cambodia | Laos | Thailand | Vietnam | Aglaonema acutispathum N.E.Br. | Aglaonema costatum var. viride Engl. | Aglaonema laoticum Gagnep. | Asia-Temperate | China | China South-Central | Asia-Tropical | Indian Subcontinent | Bangladesh | Indo-China | Cambodia | Synonyms | Aglaonema acutispathum | N.E.Br. | Aglaonema costatum var. viride | Engl. | Aglaonema laoticum | Gagnep.,Laos | Thailand | Vietnam | United States | Bangladesh | Cambodia,Bangladesh | Cambodia | China South-Central | China Southeast | Laos | Thailand,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A84081-1,urn:lsid:ipni.org:names:84081-1,
Aglaonema nitidum (Jack) Kunth 'Silver King',EXACT,96,Aglaonema nitidum,Aglaonema nitidum,Aglaonema nitidum (Jack) Kunth,2866438,Aglaonema helferi Hook.f. | Aglaonema integrifolium (Link) Schott | Aglaonema nitidum f. cinereum Jervis | Aglaonema nitidum f. curtisiae (N.E.Br.) Nicolson | Aglaonema nitidum f. curtisii (N.E.Br.) Nicolson | Aglaonema nitidum var. nitidum | Aglaonema oblanceolatum Alderw. | Aglaonema oblanceolatum f. maximum Alderw. | Aglaonema oblongifolium Schott | Aglaonema oblongifolium var. curtisiae N.E.Br. | Aglaonema oblongifolium var. curtisii N.E.Br. | Aglaonema princeps Kunth,aglaonema aroid,aglaonema aroid,,,0,0,none,wfo-0000922580,Aglaonema nitidum,https://www.worldfloraonline.org/taxon/wfo-0000922580,Asia-Tropical Indo-China Myanmar | Asia-Tropical | Indo-China | Myanmar | Thailand | Vietnam | Malesia Borneo | Malesia | Borneo | Jawa | Malaya | Sumatera,Myanmar | Thailand | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Canada | Czech Republic | Russia,Borneo | Jawa | Malaya | Myanmar | Sumatera | Thailand,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A84086-1,urn:lsid:ipni.org:names:84086-1,
Allamanda schottii Pohl.,EXACT,100,Allamanda schottii,Allamanda schottii,Allamanda schottii Pohl,3169838,Allamanda brasiliensis Schott | Allamanda brasiliensis Schott ex Pohl | Allamanda cathartica Schrad. | Allamanda cathartica var. schottii (Pohl) L.H.Bailey & Raffill | Allamanda magnifica Williams | Allamanda neriifolia Hook.,Bush Allamanda,Bush Allamanda,Brazil,BR,124,124,medium,wfo-0000943350,Allamanda schottii,https://www.worldfloraonline.org/taxon/wfo-0000943350,,,"Argentina Northeast | Brazil South | Brazil Southeast | French Guiana
Introduced into:
Bangladesh | China Southeast | Costa Rica | Galápagos | Hainan | Honduras | Mexico Southeast | Panamá | Puerto Rico",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A76487-1,urn:lsid:ipni.org:names:76487-1,
Alpinia purpurata (Viell.) Schum.,EXACT,100,Alpinia purpurata,Alpinia purpurata,Alpinia purpurata (Vieill.) K.Schum.,5301960,Alpinia grandis K.Schum. | Alpinia purpurata subsp. albobracteata K.Schum. | Alpinia purpurata subsp. anomala Gagnep. | Alpinia purpurata subsp. grandis (K.Schum.) K.Schum. | Alpinia purpurata var. albobracteata K.Schum. | Alpinia purpurata var. anomala Gagnep. | Alpinia purpurata var. grandis (K.Schum.) K.Schum.,Red Ginger,"Opuhi | Red Ginger | Sari sakai viro, Sari longoza | Sari tsingizo masera | red-ginger",Fiji | French Polynesia,FJ | PF,3,3,very_low,wfo-0000338713,Alpinia purpurata,https://www.worldfloraonline.org/taxon/wfo-0000338713,,,"Bismarck Archipelago | Maluku | New Caledonia | New Guinea | Solomon Is. | Vanuatu
Introduced into:
Assam | Bangladesh | Caroline Is. | Colombia | Comoros | Cook Is. | Ecuador | Fiji | Hawaii | Leeward Is. | Mexico Southwest | Peru",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A795383-1,urn:lsid:ipni.org:names:795383-1,
Alpinia vittata Bull.,EXACT,100,Alpinia vittata,Alpinia vittata,Alpinia vittata W.Bull,5302160,Alpinia albo-lineata | Alpinia sanderae Sander | Alpinia tricolor Sander,variegate-ginger,variegate-ginger,,,0,0,none,wfo-0000338842,Alpinia vittata,https://www.worldfloraonline.org/taxon/wfo-0000338842,,,"Bismarck Archipelago | Solomon Is.
Introduced into:
Dominican Republic | Fiji | Leeward Is. | Thailand | Trinidad-Tobago",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A872078-1,urn:lsid:ipni.org:names:872078-1,
