input_name,gbif_matched_scientificName,gbif_accepted_usageKey,wfo_match_id,wfo_accepted_name,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence
Acacia collinsii Saff.,Acacia collinsii Saff.,3795578,wfo-0001277422,Vachellia collinsii (Saff.) Seigler & Ebinger,,,0,0,none
Acalypha hispida Burm.f.,Acalypha hispida Burm.f.,3056375,wfo-0000950668,Acalypha hispida Burm.f.,Christmas Island | Colombia,CO | CX,2,2,very_low
Acorus gramineus Ait. 'Variegatus',Acorus gramineus Aiton,2873807,wfo-0000352676,Acorus gramineus Aiton,Chinese Taipei | Japan | Viet Nam,JP | TW | VN,11,11,low
Adenanthera microsperma Teijsm. et Binn.,Adenanthera microsperma Teijsm. & Binn.,2951851,wfo-0000187373,Adenanthera microsperma Teijsm. & Binn.,,,0,0,none
Aglaonema costatum N.E.Br.,Aglaonema costatum N.E.Br.,2866357,wfo-0000917172,Aglaonema costatum N.E.Br.,,,0,0,none
Aglaonema modestum Schott ex Engl.,Aglaonema modestum Schott ex Engl.,2866488,wfo-0000921877,Aglaonema modestum Schott ex Engl.,,,0,0,none
Aglaonema nitidum (Jack) Kunth 'Silver King',Aglaonema nitidum (Jack) Kunth,2866438,wfo-0000922580,Aglaonema nitidum (Jack) Kunth,,,0,0,none
Allamanda schottii Pohl.,Allamanda schottii Pohl,3169838,wfo-0000943350,Allamanda,Brazil,BR,124,124,medium
Alpinia purpurata (Viell.) Schum.,Alpinia purpurata (Vieill.) K.Schum.,5301960,wfo-0000338713,Alpinia purpurata (Vieill.) K.Schum.,Fiji | French Polynesia,FJ | PF,3,3,very_low
Alpinia vittata Bull.,Alpinia vittata W.Bull,5302160,wfo-0000338842,Alpinia vittata W.Bull,,,0,0,none
Alpinia zerumbet (Pers.) B. L. Burtt et Rosemary M. Sm.,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,5301979,wfo-0000338850,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Chinese Taipei,TW,49,49,low
Alpinia zerumbet (Pers.) B. L. Burtt et Rosemary M. Sm. 'Variegata',Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,5301979,wfo-0000338850,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Chinese Taipei,TW,49,49,low
Ananas comosus (L.) Merr.,Ananas comosus (L.) Merr.,5288819,wfo-0000339432,Ananas comosus (L.) Merr.,Afghanistan | Argentina | Bolivia (Plurinational State of) | Brazil | Colombia | France | French Guiana | Guyana | Paraguay | Suriname | Venezuela (Bolivarian Republic of),AF | AR | BO | BR | CO | FR | GF | GY | PY | SR | VE,1236,900,high
Angraecum eburneum Bory,Angraecum eburneum Bory,2833834,wfo-0000976619,Angraecum eburneum Bory,Seychelles,SC,16,16,low
Anthurium digitatum (Jacq.) G.Don f.,Anthurium digitatum (Jacq.) Schott,2872987,wfo-0000224360,Anthurium digitatum (Jacq.) Schott,,,0,0,none
Anthurium schlechtendalii Kunth,Anthurium schlechtendalii Kunth,2872288,wfo-0000232488,Anthurium schlechtendalii Kunth,Colombia,CO,2,2,very_low
Anthurium vittariifolium Engl.,Anthurium vittariifolium Engl.,2873406,wfo-0000234460,Anthurium vittariifolium Engl.,Brazil,BR,2,2,very_low
Aristolochia fimbriata Cham.,Aristolochia fimbriata Cham.,3589582,wfo-0000547788,Aristolochia fimbriata Cham.,Argentina | Bolivia (Plurinational State of) | Brazil | Cuba | Uruguay,AR | BO | BR | CU | UY,62,62,medium
Aristolochia gigantea Mart. et Zucc.,Aristolochia gigantea Mart. & Zucc.,3589283,wfo-0000547827,Aristolochia,Brazil,BR,245,245,high
Aristolochia grandiflora Sw.,Aristolochia grandiflora Sw.,2874014,wfo-0000745363,Aristolochia,,,0,0,none
Aristolochia labiata Willd.,Aristolochia labiata Willd.,2874002,wfo-0000547955,Aristolochia labiata Willd.,Brazil,BR,559,559,high
Aristolochia maxima L.,Aristolochia maxima Jacq.,2873997,wfo-0000548053,Aristolochia maxima Jacq.,Colombia,CO,3,3,very_low
Aristolochia ringens Vahl,Aristolochia ringens Vahl,2873998,wfo-0000548271,Aristolochia ringens Vahl,Australia | Colombia,AU | CO,2,2,very_low
Aristolochia trilobata L.,Aristolochia trilobata L.,8358388,wfo-0000548425,Aristolochia trilobata L.,Argentina | Brazil | Paraguay | Uruguay,AR | BR | PY | UY,212,212,high
Aristolochia zollingeriana Miq,Aristolochia zollingeriana Miq.,5836315,wfo-0000548485,Aristolochia zollingeriana Miq.,Chinese Taipei,TW,4,4,very_low
Asplenium nidus L.,Asplenium nidus L.,2650676,wfo-0001108020,Asplenium nidus L.,Australia | Chinese Taipei | India | Malaysia | Papua New Guinea | Seychelles | Tonga | United States of America,AU | IN | MY | PG | SC | TO | TW | US,105,105,medium
Averrhoa carambola L.,Averrhoa carambola L.,2891641,wfo-0000557405,Averrhoa carambola L.,Chinese Taipei,TW,2,2,very_low
Averrhoa carambola L. ’B10’,Averrhoa carambola L.,2891641,wfo-0000557405,Averrhoa carambola L.,Chinese Taipei,TW,2,2,very_low
Averrhoa carambola L. 'Fwang Tung'’,Averrhoa carambola L.,2891641,wfo-0000557405,Averrhoa carambola L.,Chinese Taipei,TW,2,2,very_low
Begonia listada L.B.Sm. et Wassh.,Begonia listada L.B.Sm. & Wassh.,4157039,wfo-0000824596,Begonia listada L.B.Sm. & Wassh.,,,0,0,none
Begonia solimutata L.B.Sm. et Wassh.,Begonia solimutata L.B.Sm. & Wassh.,7646487,wfo-0000825560,Begonia soli-mutata L.B.Sm. & Wassh.,,,0,0,none
Brachychilum horsfieldii (R.Br. ex Wallich) Petersen,Brachychilum horsfieldii (R.Br. ex Wall.) Petersen,2758650,wfo-0000436106,Hedychium horsfieldii Wall.,,,0,0,none
Breynia nivosa (W.G.Sm.) Small.,Breynia nivosa (W.Bull) Small,5383031,wfo-0000412108,Breynia disticha J.R.Forst. & G.Forst.,Australia | New Caledonia | Norfolk Island | Vanuatu,AU | NC | NF | VU,9,9,very_low
Brownea latifolia Jacq.,Brownea latifolia Jacq.,2970480,wfo-0000184964,Brownea coccinea subsp. capitella (Jacq.) D.Velázquez & G.Agostini,,,0,0,none
Caladium bicolor (Aiton) Vent.,Caladium bicolor (Aiton) Vent.,2868390,wfo-0000739079,Caladium bicolor (Aiton) Vent.,Bolivia (Plurinational State of) | Brazil | Colombia | Venezuela (Bolivarian Republic of),BO | BR | CO | VE,180,180,medium
Calathea zebrina (Sims) Lindl.,Calathea zebrina (Sims) Lindl.,5302914,wfo-0000430828,Goeppertia zebrina (Sims) Nees,Brazil,BR,70,70,medium
Canna glauca L.,Canna glauca L.,5303128,wfo-0000343792,Canna glauca L.,Argentina | Brazil | Ecuador | Paraguay | Spain | United States of America | Uruguay,AR | BR | EC | ES | PY | US | UY,252,252,high
Carica papaya L.,Carica papaya L.,2874484,wfo-0000588009,Carica papaya L.,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low
Carica papaya L. 'Nana',Carica papaya L.,2874484,wfo-0000588009,Carica papaya L.,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low
Carica papaya L. 'Pasar Orange',Carica papaya L.,2874484,wfo-0000588009,Carica papaya L.,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low
Carica papaya L. 'Solo',Carica papaya L.,2874484,wfo-0000588009,Carica papaya L.,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low
Carica papaya L. 'Solo-Waimanalo',Carica papaya L.,2874484,wfo-0000588009,Carica papaya L.,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low
Carica papaya L. 'Sunset',Carica papaya L.,2874484,wfo-0000588009,Carica papaya L.,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low
Castanospermum australe Raddi,Castanospermum australe A.Cunn. ex Mudie,7579806,wfo-0000212067,Castanospermum australe A.Cunn. & C.Fraser,Australia,AU,35,35,low
Cinnamomum parthenoxylon (Jacq.) Meisn.,Cinnamomum parthenoxylon (Jack) Meisn.,4181342,wfo-0000605312,Cinnamomum parthenoxylon (Jack) Meisn.,,,0,0,none
Clerodendrum splendens G.Don. ex James,Clerodendrum splendens G.Don,7999246,wfo-0000886685,Clerodendrum splendens G.Don,,,0,0,none
Clerodendrum thomsoniae Balf.f.,Clerodendrum thomsoniae Balf.f.,3889087,wfo-0000887105,Clerodendrum thomsoniae Balf.,Chinese Taipei | Nigeria,NG | TW,3,3,very_low
Clusia rosea Jacq. ’Princess’,Clusia rosea Jacq.,5421060,wfo-0000612436,Clusia rosea Jacq.,Colombia | United States of America,CO | US,4,4,very_low
Coccothrinax readii H.J.Quero R.,Coccothrinax readii H.J.Quero,2735226,wfo-0000901549,Coccothrinax readii H.J.Quero,,,0,0,none
Cocos nucifera L.,Cocos nucifera L.,2735117,wfo-0000903570,Cocos nucifera L.,Australia | Cocos (Keeling) Islands | Colombia | Philippines | Seychelles | Tonga,AU | CC | CO | PH | SC | TO,51,51,medium
Cocos nucifera L. 'King',Cocos nucifera L.,2735117,wfo-0000903570,Cocos nucifera L.,Australia | Cocos (Keeling) Islands | Colombia | Philippines | Seychelles | Tonga,AU | CC | CO | PH | SC | TO,51,51,medium
Cocos nucifera L. 'Maypan',Cocos nucifera L.,2735117,wfo-0000903570,Cocos nucifera L.,Australia | Cocos (Keeling) Islands | Colombia | Philippines | Seychelles | Tonga,AU | CC | CO | PH | SC | TO,51,51,medium
Coffea arabica L.,Coffea arabica L.,2895345,wfo-0000910097,Coffea arabica L.,Australia | Chinese Taipei | Fiji | United Kingdom of Great Britain and Northern Ireland,AU | FJ | GB | TW,13,13,low
Coffea arabica L. 'Bourbon',Coffea arabica L.,2895345,wfo-0000910097,Coffea arabica L.,Australia | Chinese Taipei | Fiji | United Kingdom of Great Britain and Northern Ireland,AU | FJ | GB | TW,13,13,low
Coffea arabica L. 'Nana',Coffea arabica L.,2895345,wfo-0000910097,Coffea arabica L.,Australia | Chinese Taipei | Fiji | United Kingdom of Great Britain and Northern Ireland,AU | FJ | GB | TW,13,13,low
