input_name,gbif_matchType,gbif_confidence,gbif_matched_scientificName,gbif_matched_canonicalName,gbif_matched_usageKey,gbif_accepted_usageKey,gbif_accepted_taxonomicStatus,gbif_accepted_hops,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_synonyms,gbif_synonym_count,gbif_synonyms_same_species,gbif_synonyms_same_species_count,gbif_synonyms_same_genus,gbif_synonyms_same_genus_count,gbif_english_name,gbif_english_names,gbif_english_name_count,wfo_input_used,wfo_query_used,wfo_match_wfo_id,wfo_match_full_name,wfo_accepted_name,wfo_synonyms,wfo_synonym_count,wfo_debug,synonyms_in_gbif_not_in_wfo,synonyms_in_wfo_not_in_gbif
Acacia collinsii Saff.,EXACT,100,Acacia collinsii Saff.,Acacia collinsii,2980971,3795578,ACCEPTED,1,Vachellia collinsii,Vachellia collinsii,Vachellia collinsii (Saff.) Seigler & Ebinger,Acacia collinsii Saff. | Acacia costaricensis Schenck | Acacia glutea Ram.Goyena | Acacia nelsonii Saff. | Acacia panamensis Schenck | Acacia penomensis Saff. | Acacia penonomensis Saff. | Acacia yucatanensis Schenck | Myrmecodendron collinsae (Saff.) Britton & Rose | Myrmecodendron collinsii (Saff.) Britton & Rose | Myrmecodendron costaricense (Schenck) Britton & Rose | Myrmecodendron costaricensis (Schenck) Britton & Rose,12,Acacia collinsii Saff. | Myrmecodendron collinsii (Saff.) Britton & Rose,2,,0,bull horn acacia,bull horn acacia,1,Vachellia collinsii (Saff.) Seigler & Ebinger,Vachellia collinsii,wfo-0001277422,Vachellia collinsii (Saff.) Seigler & Ebinger,Vachellia collinsii (Saff.) Seigler & Ebinger,Acacia collinsii Saff. | Myrmecodendron collinsii (Saff.) Britton & Rose | Myrmecodendron costaricense (Schenck) Britton & Rose | Acacia nelsonii Saff. | Acacia panamensis Schenck | Acacia penonomensis Saff. | Acacia yucatanensis Schenck | Acacia costaricensis Schenck | Acacia glutea Ram.Goyena | Acacia penomensis Saff.,10,"{""mode"": ""rest+variants"", ""chosen_query"": ""Vachellia collinsii"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0001277422"", ""full_name_plain"": ""Vachellia collinsii (Saff.) Seigler & Ebinger"", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 10}}",Myrmecodendron collinsae (Saff.) Britton & Rose | Myrmecodendron costaricensis (Schenck) Britton & Rose,
Acalypha hispida Burm.f.,EXACT,100,Acalypha hispida Burm.f.,Acalypha hispida,3056375,3056375,ACCEPTED,0,Acalypha hispida,Acalypha hispida,Acalypha hispida Burm.f.,Acalypha hispida Burm.f. | Acalypha densiflora Blume | Acalypha hispida var. sanderi (N.E.Br.) J.J.Sm. | Acalypha sanderi K.Schum. | Acalypha sanderi N.E.Br. | Acalypha sanderi subsp. alba Sander | Caturus spiciflorus L. | Ricinocarpus hispidus (Burm.f.) Kuntze | Ricinocarpus spiciflorus (L.) Kuntze,9,Acalypha hispida Burm.f. | Acalypha hispida var. sanderi (N.E.Br.) J.J.Sm.,2,Acalypha hispida Burm.f. | Acalypha densiflora Blume | Acalypha hispida var. sanderi (N.E.Br.) J.J.Sm. | Acalypha sanderi K.Schum. | Acalypha sanderi N.E.Br. | Acalypha sanderi subsp. alba Sander,6,chenilleplant,Moukiana mkomba | Philippine-medusa | Red-Hot Cat's Tail | bristly copperleaf | chenille plant | chenilleplant,6,Acalypha hispida Burm.f.,Acalypha hispida,wfo-0000950668,Acalypha hispida Burm.f.,Acalypha hispida Burm.f.,Acalypha sanderi N.E.Br. | Acalypha sanderi K.Schum. | Ricinocarpus hispidus (Burm.f.) Kuntze | Ricinocarpus spiciflorus (L.) Kuntze | Caturus spiciflorus L. | Acalypha densiflora Blume | Acalypha hispida var. sanderi (N.E.Br.) J.J.Sm. | Acalypha sanderi unranked alba Sander,8,"{""mode"": ""rest+variants"", ""chosen_query"": ""Acalypha hispida"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": false, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": true}, ""wfo_id"": ""wfo-0000950668"", ""full_name_plain"": ""Acalypha hispida Burm.f."", ""attempts_count"": 2, ""parse"": {""accepted_found"": false, ""synonym_count"": 8}}",Acalypha hispida Burm.f. | Acalypha sanderi subsp. alba Sander,Acalypha sanderi unranked alba Sander
Acorus gramineus Ait. 'Variegatus',EXACT,94,Acorus gramineus Aiton,Acorus gramineus,2873807,2873807,ACCEPTED,0,Acorus gramineus,Acorus gramineus,Acorus gramineus Aiton,Acorus gramineus Aiton | Acorus gramineus subsp. gramineus | Acorus gramineus subsp. japonica M.Hotta | Acorus gramineus subsp. macrospadiceus Yamam. | Acorus gramineus subsp. pusillus (Siebold) Engl. | Acorus gramineus var. flavomarginatus T.S.Liu | Acorus gramineus var. japonicus M.Hotta | Acorus gramineus var. macrospadiceus Yamam. | Acorus gramineus var. pusillus (Siebold) Engl. | Acorus humilis Salisb. | Acorus macrospadiceus (Yamam.) F.N.Wei & Y.K.Li | Acorus pusillus Siebold | Acorus pusillus Siebold ex Miq. | Acorus tatarinowii var. flavomarginatus T.S.Liu | Acorus xiangyeus Z.Y.Zhu | Acorus ziangyeus Z.Y.Zhu,16,Acorus gramineus Aiton | Acorus gramineus subsp. gramineus | Acorus gramineus subsp. japonica M.Hotta | Acorus gramineus subsp. macrospadiceus Yamam. | Acorus gramineus subsp. pusillus (Siebold) Engl. | Acorus gramineus var. flavomarginatus T.S.Liu | Acorus gramineus var. japonicus M.Hotta | Acorus gramineus var. macrospadiceus Yamam. | Acorus gramineus var. pusillus (Siebold) Engl.,9,Acorus gramineus Aiton | Acorus gramineus subsp. gramineus | Acorus gramineus subsp. japonica M.Hotta | Acorus gramineus subsp. macrospadiceus Yamam. | Acorus gramineus subsp. pusillus (Siebold) Engl. | Acorus gramineus var. flavomarginatus T.S.Liu | Acorus gramineus var. japonicus M.Hotta | Acorus gramineus var. macrospadiceus Yamam. | Acorus gramineus var. pusillus (Siebold) Engl. | Acorus humilis Salisb. | Acorus macrospadiceus (Yamam.) F.N.Wei & Y.K.Li | Acorus pusillus Siebold | Acorus pusillus Siebold ex Miq. | Acorus tatarinowii var. flavomarginatus T.S.Liu | Acorus xiangyeus Z.Y.Zhu | Acorus ziangyeus Z.Y.Zhu,16,Slender Sweet-flag,Grass-leaf sweet flag | Grassleaf Sweet Flag | Slender Sweet-flag | grass-leaf sweet-flag | jin qian pu,5,Acorus gramineus Aiton,Acorus gramineus,wfo-0000352676,Acorus gramineus Aiton,Acorus gramineus Aiton,Acorus gramineus var. japonica M.Hotta | Acorus gramineus var. macrospadiceus Yamam. | Acorus gramineus var. pusillus (Siebold ex Miq.) Engl. | Acorus humilis Salisb. | Acorus macrospadiceus (Yamam.) F.N.Wei & Y.K.Li | Acorus pusillus Siebold ex Miq. | Acorus xiangyeus Z.Y.Zhu | Acorus gramineus var. japonicus M.Hotta,8,"{""mode"": ""rest+variants"", ""chosen_query"": ""Acorus gramineus"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000352676"", ""full_name_plain"": ""Acorus gramineus Aiton"", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 8}}",Acorus gramineus Aiton | Acorus pusillus Siebold | Acorus ziangyeus Z.Y.Zhu | Acorus gramineus subsp. gramineus | Acorus gramineus subsp. japonica M.Hotta | Acorus gramineus subsp. macrospadiceus Yamam. | Acorus gramineus var. flavomarginatus T.S.Liu | Acorus gramineus var. pusillus (Siebold) Engl. | Acorus tatarinowii var. flavomarginatus T.S.Liu | Acorus gramineus subsp. pusillus (Siebold) Engl.,Acorus gramineus var. japonica M.Hotta | Acorus gramineus var. pusillus (Siebold ex Miq.) Engl.
Adenanthera microsperma Teijsm. et Binn.,EXACT,100,Adenanthera microsperma Teijsm. & Binn.,Adenanthera microsperma,2951851,2951851,ACCEPTED,0,Adenanthera microsperma,Adenanthera microsperma,Adenanthera microsperma Teijsm. & Binn.,Adenanthera microsperma Teijsm. & Binn. | Adenanthera pavonina subsp. microsperma (Teijsm. & Binnend.) Nielsen. | Adenanthera pavonina var. microsperma (Teijsm. & Binn.) I.C.Nielsen | Adenanthera tamarindifolia Pierre | Corallaria parvifolia Rumph.,5,Adenanthera microsperma Teijsm. & Binn.,1,Adenanthera microsperma Teijsm. & Binn. | Adenanthera pavonina subsp. microsperma (Teijsm. & Binnend.) Nielsen. | Adenanthera pavonina var. microsperma (Teijsm. & Binn.) I.C.Nielsen | Adenanthera tamarindifolia Pierre,4,phai,bon see | chreh phnôm | phai,3,Adenanthera microsperma Teijsm. & Binn.,Adenanthera microsperma,wfo-0000187373,Adenanthera microsperma Teijsm. & Binn.,Adenanthera microsperma Teijsm. & Binn.,Adenanthera tamarindifolia Pierre | Adenanthera pavonina var. microsperma (Teijsm. & Binn.) I.C.Nielsen,2,"{""mode"": ""rest+variants"", ""chosen_query"": ""Adenanthera microsperma"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": false, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": true}, ""wfo_id"": ""wfo-0000187373"", ""full_name_plain"": ""Adenanthera microsperma Teijsm. & Binn."", ""attempts_count"": 2, ""parse"": {""accepted_found"": false, ""synonym_count"": 2}}",Corallaria parvifolia Rumph. | Adenanthera microsperma Teijsm. & Binn. | Adenanthera pavonina subsp. microsperma (Teijsm. & Binnend.) Nielsen.,
Aglaonema costatum N.E.Br.,EXACT,100,Aglaonema costatum N.E.Br.,Aglaonema costatum,2866357,2866357,ACCEPTED,0,Aglaonema costatum,Aglaonema costatum,Aglaonema costatum N.E.Br.,Aglaonema costatum N.E.Br. | Aglaonema costatum f. concolor Nicolson | Aglaonema costatum f. costatum | Aglaonema costatum f. foxii (Engl.) Jervis | Aglaonema costatum f. immaculatum (Ridl.) Nicolson | Aglaonema costatum f. virescens (Ridl. ex Engl.) Nicolson | Aglaonema costatum var. foxii Engl. | Aglaonema costatum var. immaculatum (Ridl.) Nicolson | Aglaonema costatum var. immaculatum Ridl. | Aglaonema costatum var. lineatum Engl. | Aglaonema costatum var. maculatum Engl. | Aglaonema costatum var. virescens Ridl. | Aglaonema costatum var. virescens Ridl. ex Engl.,13,Aglaonema costatum N.E.Br. | Aglaonema costatum f. concolor Nicolson | Aglaonema costatum f. costatum | Aglaonema costatum f. foxii (Engl.) Jervis | Aglaonema costatum f. immaculatum (Ridl.) Nicolson | Aglaonema costatum f. virescens (Ridl. ex Engl.) Nicolson | Aglaonema costatum var. foxii Engl. | Aglaonema costatum var. immaculatum (Ridl.) Nicolson | Aglaonema costatum var. immaculatum Ridl. | Aglaonema costatum var. lineatum Engl. | Aglaonema costatum var. maculatum Engl. | Aglaonema costatum var. virescens Ridl. | Aglaonema costatum var. virescens Ridl. ex Engl.,13,Aglaonema costatum N.E.Br. | Aglaonema costatum f. concolor Nicolson | Aglaonema costatum f. costatum | Aglaonema costatum f. foxii (Engl.) Jervis | Aglaonema costatum f. immaculatum (Ridl.) Nicolson | Aglaonema costatum f. virescens (Ridl. ex Engl.) Nicolson | Aglaonema costatum var. foxii Engl. | Aglaonema costatum var. immaculatum (Ridl.) Nicolson | Aglaonema costatum var. immaculatum Ridl. | Aglaonema costatum var. lineatum Engl. | Aglaonema costatum var. maculatum Engl. | Aglaonema costatum var. virescens Ridl. | Aglaonema costatum var. virescens Ridl. ex Engl.,13,Fox's aglaonema,Chinese evergreen | Fox's aglaonema | spotted evergreen,3,Aglaonema costatum N.E.Br.,Aglaonema costatum,wfo-0000917172,Aglaonema costatum N.E.Br.,Aglaonema costatum N.E.Br.,Aglaonema costatum f. costatum | Aglaonema costatum var. foxii Engl. | Aglaonema costatum f. foxii (Engl.) Jervis | Aglaonema costatum var. immaculatum Ridl. | Aglaonema costatum f. immaculatum (Ridl.) Nicolson | Aglaonema costatum var. lineatum Engl. | Aglaonema costatum var. maculatum Engl. | Aglaonema costatum var. virescens Ridl. ex Engl. | Aglaonema costatum f. virescens (Ridl. ex Engl.) Nicolson | Aglaonema costatum f. concolor Nicolson,10,"{""mode"": ""rest+variants"", ""chosen_query"": ""Aglaonema costatum"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000917172"", ""full_name_plain"": ""Aglaonema costatum N.E.Br."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 10}}",Aglaonema costatum N.E.Br. | Aglaonema costatum var. virescens Ridl. | Aglaonema costatum var. immaculatum (Ridl.) Nicolson,
Aglaonema modestum Schott ex Engl.,EXACT,100,Aglaonema modestum Schott ex Engl.,Aglaonema modestum,2866488,2866488,ACCEPTED,0,Aglaonema modestum,Aglaonema modestum,Aglaonema modestum Schott ex Engl.,Aglaonema modestum Schott ex Engl. | Aglaonema acutispathum N.E.Br. | Aglaonema costatum subsp. viride Engl. | Aglaonema costatum var. viride Engl. | Aglaonema laoticum Gagnep. | Aglaonema modestum Schott,6,Aglaonema modestum Schott ex Engl. | Aglaonema modestum Schott,2,Aglaonema modestum Schott ex Engl. | Aglaonema acutispathum N.E.Br. | Aglaonema costatum subsp. viride Engl. | Aglaonema costatum var. viride Engl. | Aglaonema laoticum Gagnep. | Aglaonema modestum Schott,6,Chinese evergreen,Chinese evergreen | Japanese-leaf,2,Aglaonema modestum Schott ex Engl.,Aglaonema modestum,wfo-0000921877,Aglaonema modestum Schott ex Engl.,Aglaonema modestum Schott ex Engl.,Aglaonema acutispathum N.E.Br. | Aglaonema costatum var. viride Engl. | Aglaonema laoticum Gagnep.,3,"{""mode"": ""rest+variants"", ""chosen_query"": ""Aglaonema modestum"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000921877"", ""full_name_plain"": ""Aglaonema modestum Schott ex Engl."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 3}}",Aglaonema modestum Schott | Aglaonema modestum Schott ex Engl. | Aglaonema costatum subsp. viride Engl.,
Aglaonema nitidum (Jack) Kunth 'Silver King',EXACT,96,Aglaonema nitidum (Jack) Kunth,Aglaonema nitidum,2866438,2866438,ACCEPTED,0,Aglaonema nitidum,Aglaonema nitidum,Aglaonema nitidum (Jack) Kunth,Aglaonema nitidum (Jack) Kunth | Aglaonema helferi Hook.f. | Aglaonema integrifolium (Link) Schott | Aglaonema nitidum f. cinereum Jervis | Aglaonema nitidum f. curtisiae (N.E.Br.) Nicolson | Aglaonema nitidum f. curtisii (N.E.Br.) Nicolson | Aglaonema nitidum var. nitidum | Aglaonema oblanceolatum Alderw. | Aglaonema oblanceolatum f. maximum Alderw. | Aglaonema oblongifolium Schott | Aglaonema oblongifolium var. curtisiae N.E.Br. | Aglaonema oblongifolium var. curtisii N.E.Br. | Aglaonema princeps Kunth | Arum integrifolium Link | Calla nitida Jack,15,Aglaonema nitidum (Jack) Kunth | Aglaonema nitidum f. cinereum Jervis | Aglaonema nitidum f. curtisiae (N.E.Br.) Nicolson | Aglaonema nitidum f. curtisii (N.E.Br.) Nicolson | Aglaonema nitidum var. nitidum,5,Aglaonema nitidum (Jack) Kunth | Aglaonema helferi Hook.f. | Aglaonema integrifolium (Link) Schott | Aglaonema nitidum f. cinereum Jervis | Aglaonema nitidum f. curtisiae (N.E.Br.) Nicolson | Aglaonema nitidum f. curtisii (N.E.Br.) Nicolson | Aglaonema nitidum var. nitidum | Aglaonema oblanceolatum Alderw. | Aglaonema oblanceolatum f. maximum Alderw. | Aglaonema oblongifolium Schott | Aglaonema oblongifolium var. curtisiae N.E.Br. | Aglaonema oblongifolium var. curtisii N.E.Br. | Aglaonema princeps Kunth,13,aglaonema aroid,aglaonema aroid,1,Aglaonema nitidum (Jack) Kunth,Aglaonema nitidum,wfo-0000922580,Aglaonema nitidum (Jack) Kunth,Aglaonema nitidum (Jack) Kunth,Arum integrifolium Link | Calla nitida Jack | Aglaonema helferi Hook.f. | Aglaonema integrifolium (Link) Schott | Aglaonema nitidum f. cinereum Jervis | Aglaonema nitidum f. curtisii (N.E.Br.) Nicolson | Aglaonema nitidum var. helferi (Hook.f.) Nicolson | Aglaonema nitidum var. nitidum | Aglaonema oblanceolatum Alderw. | Aglaonema oblanceolatum f. maximum Alderw. | Aglaonema oblongifolium Schott | Aglaonema oblongifolium var. curtisii N.E.Br. | Aglaonema princeps Kunth,13,"{""mode"": ""rest+variants"", ""chosen_query"": ""Aglaonema nitidum"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000922580"", ""full_name_plain"": ""Aglaonema nitidum (Jack) Kunth"", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 13}}",Aglaonema nitidum (Jack) Kunth | Aglaonema oblongifolium var. curtisiae N.E.Br. | Aglaonema nitidum f. curtisiae (N.E.Br.) Nicolson,Aglaonema nitidum var. helferi (Hook.f.) Nicolson
Allamanda schottii Pohl.,EXACT,100,Allamanda schottii Pohl,Allamanda schottii,3169838,3169838,ACCEPTED,0,Allamanda schottii,Allamanda schottii,Allamanda schottii Pohl,Allamanda schottii Pohl | Allamanda brasiliensis Schott | Allamanda brasiliensis Schott ex Pohl | Allamanda cathartica Schrad. | Allamanda cathartica var. schottii (Pohl) L.H.Bailey & Raffill | Allamanda magnifica Williams | Allamanda neriifolia Hook.,7,Allamanda schottii Pohl,1,Allamanda schottii Pohl | Allamanda brasiliensis Schott | Allamanda brasiliensis Schott ex Pohl | Allamanda cathartica Schrad. | Allamanda cathartica var. schottii (Pohl) L.H.Bailey & Raffill | Allamanda magnifica Williams | Allamanda neriifolia Hook.,7,Bush Allamanda,Bush Allamanda,1,Allamanda schottii Pohl,Allamanda schottii,wfo-0000943350,Allamanda schottii Hook.,Allamanda,Allamanda cathartica L.,1,"{""mode"": ""rest+variants"", ""chosen_query"": ""Allamanda schottii"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": false, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": true}, ""wfo_id"": ""wfo-0000943350"", ""full_name_plain"": ""Allamanda schottii Hook."", ""attempts_count"": 2, ""parse"": {""accepted_found"": true, ""synonym_count"": 1}}",Allamanda schottii Pohl | Allamanda neriifolia Hook. | Allamanda cathartica Schrad. | Allamanda magnifica Williams | Allamanda brasiliensis Schott | Allamanda brasiliensis Schott ex Pohl | Allamanda cathartica var. schottii (Pohl) L.H.Bailey & Raffill,Allamanda cathartica L.
Alpinia purpurata (Viell.) Schum.,EXACT,100,Alpinia purpurata (Vieill.) K.Schum.,Alpinia purpurata,5301960,5301960,ACCEPTED,0,Alpinia purpurata,Alpinia purpurata,Alpinia purpurata (Vieill.) K.Schum.,"Alpinia purpurata (Vieill.) K.Schum. | Alpinia grandis K.Schum. | Alpinia purpurata subsp. albobracteata K.Schum. | Alpinia purpurata subsp. anomala Gagnep. | Alpinia purpurata subsp. grandis (K.Schum.) K.Schum. | Alpinia purpurata var. albobracteata K.Schum. | Alpinia purpurata var. anomala Gagnep. | Alpinia purpurata var. grandis (K.Schum.) K.Schum. | Guillainia novoebudica F.Muell. | Guillainia purpurata Vieill. | Languas purpurata (Vieill.) J.W.Moore, 1933 | Languas purpurata (Vieill.) Kaneh.",12,"Alpinia purpurata (Vieill.) K.Schum. | Alpinia purpurata subsp. albobracteata K.Schum. | Alpinia purpurata subsp. anomala Gagnep. | Alpinia purpurata subsp. grandis (K.Schum.) K.Schum. | Alpinia purpurata var. albobracteata K.Schum. | Alpinia purpurata var. anomala Gagnep. | Alpinia purpurata var. grandis (K.Schum.) K.Schum. | Guillainia purpurata Vieill. | Languas purpurata (Vieill.) J.W.Moore, 1933 | Languas purpurata (Vieill.) Kaneh.",10,Alpinia purpurata (Vieill.) K.Schum. | Alpinia grandis K.Schum. | Alpinia purpurata subsp. albobracteata K.Schum. | Alpinia purpurata subsp. anomala Gagnep. | Alpinia purpurata subsp. grandis (K.Schum.) K.Schum. | Alpinia purpurata var. albobracteata K.Schum. | Alpinia purpurata var. anomala Gagnep. | Alpinia purpurata var. grandis (K.Schum.) K.Schum.,8,Red Ginger,"Opuhi | Red Ginger | Sari sakai viro, Sari longoza | Sari tsingizo masera | red-ginger",5,Alpinia purpurata (Vieill.) K.Schum.,Alpinia purpurata,wfo-0000338713,Alpinia purpurata (Vieill.) K.Schum.,Alpinia purpurata (Vieill.) K.Schum.,Alpinia grandis K.Schum. | Alpinia purpurata var. albobracteata K.Schum. | Alpinia purpurata var. anomala Gagnep. | Alpinia purpurata var. grandis (K.Schum.) K.Schum. | Guillainia novoebudica F.Muell. | Guillainia purpurata Vieill. | Languas purpurata (Vieill.) Kaneh.,7,"{""mode"": ""rest+variants"", ""chosen_query"": ""Alpinia purpurata"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000338713"", ""full_name_plain"": ""Alpinia purpurata (Vieill.) K.Schum."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 7}}","Alpinia purpurata (Vieill.) K.Schum. | Alpinia purpurata subsp. anomala Gagnep. | Languas purpurata (Vieill.) J.W.Moore, 1933 | Alpinia purpurata subsp. albobracteata K.Schum. | Alpinia purpurata subsp. grandis (K.Schum.) K.Schum.",
Alpinia vittata Bull.,EXACT,100,Alpinia vittata W.Bull,Alpinia vittata,5302160,5302160,ACCEPTED,0,Alpinia vittata,Alpinia vittata,Alpinia vittata W.Bull,Alpinia vittata W.Bull | Alpinia albo-lineata | Alpinia sanderae Sander | Alpinia tricolor Sander | Guillainia vittata (W.Bull) Ridl.,5,Alpinia vittata W.Bull | Guillainia vittata (W.Bull) Ridl.,2,Alpinia vittata W.Bull | Alpinia albo-lineata | Alpinia sanderae Sander | Alpinia tricolor Sander,4,variegate-ginger,variegate-ginger,1,Alpinia vittata W.Bull,Alpinia vittata,wfo-0000338842,Alpinia vittata W.Bull,Alpinia vittata W.Bull,Alpinia sanderae Sander | Alpinia tricolor Sander | Guillainia vittata (W.Bull) W.Bull,3,"{""mode"": ""rest+variants"", ""chosen_query"": ""Alpinia vittata"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000338842"", ""full_name_plain"": ""Alpinia vittata W.Bull"", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 3}}",Alpinia albo-lineata | Alpinia vittata W.Bull | Guillainia vittata (W.Bull) Ridl.,Guillainia vittata (W.Bull) W.Bull
