Name,Scientific_Name,Family,Toxicity_Dog,Toxicity_Cat,Toxicity_Horse
sand verbena,abronia fragrans,nyctaginaceae,non-toxic,non-toxic,non-toxic
prairie snowball,abronia fragrans,nyctaginaceae,non-toxic,non-toxic,non-toxic
wild lantana,abronia fragrans,nyctaginaceae,non-toxic,non-toxic,non-toxic
prayer bean,abrus precatorius,leguminosae,toxic,toxic,toxic
rosary pea,abrus precatorius,leguminosae,toxic,toxic,toxic
buddhist rosary bead,abrus precatorius,leguminosae,toxic,toxic,toxic
indian bead,abrus precatorius,leguminosae,toxic,toxic,toxic
indian licorice,abrus precatorius,leguminosae,toxic,toxic,toxic
love bean,abrus precatorius,leguminosae,toxic,toxic,toxic
lucky bean,abrus precatorius,leguminosae,toxic,toxic,toxic
seminole bead,abrus precatorius,leguminosae,toxic,toxic,toxic
weather plant,abrus precatorius,leguminosae,toxic,toxic,toxic
precatory bean,abrus precatorius,leguminosae,toxic,toxic,toxic
copperleaf,acalypha godseffiana,euphorbiaceae,non-toxic,non-toxic,non-toxic
lance copperleaf,acalypha godseffiana,euphorbiaceae,non-toxic,non-toxic,non-toxic
chenille plant,acalypha hispida,euphorbiaceae,non-toxic,non-toxic,non-toxic
philippine medusa,acalypha hispida,euphorbiaceae,non-toxic,non-toxic,non-toxic
foxtail,acalypha hispida,euphorbiaceae,non-toxic,non-toxic,non-toxic
red hot cat tail,acalypha hispida,euphorbiaceae,non-toxic,non-toxic,non-toxic
measles plant,acantha,acanthaceae,non-toxic,non-toxic,non-toxic
polka dot plant,acantha,acanthaceae,non-toxic,non-toxic,non-toxic
flamingo plant,acantha,acanthaceae,non-toxic,non-toxic,non-toxic
baby’s tears,acantha,acanthaceae,non-toxic,non-toxic,non-toxic
freckle face,acantha,acanthaceae,non-toxic,non-toxic,non-toxic
amur maple,acer ginnala,aceraceae,non-toxic,non-toxic,unknown
maple,acer ginnala,aceraceae,non-toxic,non-toxic,unknown
amur,acer ginnala,aceraceae,non-toxic,non-toxic,unknown
red maple,acer rubrum,aceraceae,non-toxic,non-toxic,toxic
swamp maple,acer rubrum,aceraceae,non-toxic,non-toxic,toxic
scarlet maple,acer rubrum,aceraceae,non-toxic,non-toxic,toxic
curled maple,acer rubrum,aceraceae,non-toxic,non-toxic,toxic
soft maple,acer rubrum,aceraceae,non-toxic,non-toxic,toxic
dog daisy,achillea millefolium,compositae,toxic,toxic,toxic
dog fennel,achillea millefolium,compositae,toxic,toxic,toxic
milfoil,achillea millefolium,asteraceae,toxic,toxic,toxic
yarrow,achillea millefolium,asteraceae,toxic,toxic,toxic
yarrow,achillea millefolium,compositae,toxic,toxic,toxic
milfoil,achillea millefolium,compositae,toxic,toxic,toxic
desert azalea,adenium obesum,apocynaceae,toxic,toxic,toxic
desert rose,adenium obesum,apocynaceae,toxic,toxic,toxic
mock azalea,adenium obesum,apocynaceae,toxic,toxic,toxic
sabi star,adenium obesum,apocynaceae,toxic,toxic,toxic
impala lily,adenium obesum,apocynaceae,toxic,toxic,toxic
kudu lily,adenium obesum,apocynaceae,toxic,toxic,toxic
lipstick plant,aeschynanthus humilis,gesneraceae,non-toxic,non-toxic,non-toxic
horse chestnut,aesculus glabra,hippocastanaceae,toxic,toxic,toxic
buckeye,aesculus glabra,hippocastanaceae,toxic,toxic,toxic
buckeye,aesculus spp,hippocastanaceae,toxic,toxic,toxic
horse chestnut,aesculus spp,hippocastanaceae,toxic,toxic,toxic
white snakeroot,ageratina altissima,asteraceae,unknown,unknown,toxic
fall poison,ageratina altissima,asteraceae,unknown,unknown,toxic
richweed,ageratina altissima,asteraceae,unknown,unknown,toxic
tremetol,ageratina altissima,asteraceae,unknown,unknown,toxic
chinese evergreen,aglaonema modestum,araceae,toxic,toxic,toxic
giant white inch plant,albiflora spp.,commelinaceae,non-toxic,non-toxic,non-toxic
hollyhock,alcea rosea,malvaceae,non-toxic,non-toxic,non-toxic
leek,allium ampeloprasum,liliaceae,toxic,toxic,toxic
elephant garlic,allium ampeloprasum,liliaceae,toxic,toxic,toxic
onion,allium cepa,liliaceae,toxic,toxic,toxic
garlic,allium sativum,liliaceae,toxic,toxic,toxic
stinking rose,allium sativum,liliaceae,toxic,toxic,toxic
rustic treacle,allium sativum,liliaceae,toxic,toxic,toxic
camphor of the poor,allium sativum,liliaceae,toxic,toxic,toxic
nectar of the gods,allium sativum,liliaceae,toxic,toxic,toxic
serpent garlic,allium sativum,liliaceae,toxic,toxic,toxic
rocambole,allium sativum,liliaceae,toxic,toxic,toxic
chives,allium schoenoprasum,amaryllidaceae,toxic,toxic,toxic
alocasia,alocasia spp.,araceae,toxic,toxic,toxic
elephant's ear,alocasia spp.,araceae,toxic,toxic,toxic
barbados aloe,aloe barbadensis,aloaceae,toxic,toxic,toxic
medicine plant,aloe barbadensis,aloaceae,toxic,toxic,toxic
true aloe,aloe barbadensis,aloaceae,toxic,toxic,toxic
aloe,aloe barbadensis,aloaceae,toxic,toxic,toxic
cushion aloe,aloe retusa,aloaceae,non-toxic,non-toxic,non-toxic
aloe,aloe vera,liliaceae,toxic,toxic,toxic
lemon verbena,aloysia triphylla,verbenaceae,toxic,toxic,toxic
lemon beebrush,aloysia triphylla,verbenaceae,toxic,toxic,toxic
peruvian lily,alstroemeria,liliaceae,non-toxic,non-toxic,non-toxic
lily of the incas,alstroemeria,liliaceae,non-toxic,non-toxic,non-toxic
princess lily,alstroemeria,liliaceae,non-toxic,non-toxic,non-toxic
alstromeria,alstroemeria,liliaceae,non-toxic,non-toxic,non-toxic
alyssum,alyssum spp.,brassicaceae,non-toxic,non-toxic,non-toxic
alyssum varieties,alyssum spp.,brassicaceae,non-toxic,non-toxic,non-toxic
cocks comb,amaranthus hypochondriacus,amaranthaceae,non-toxic,non-toxic,non-toxic
pile wort,amaranthus hypochondriacus,amaranthaceae,non-toxic,non-toxic,non-toxic
lady bleeding,amaranthus hypochondriacus,amaranthaceae,non-toxic,non-toxic,non-toxic
red cocks comb,amaranthus hypochondriacus,amaranthaceae,non-toxic,non-toxic,non-toxic
amaryllis,amaryllis spp.,amaryllidaceae,toxic,toxic,toxic
many,amaryllis spp.,amaryllidaceae,toxic,toxic,toxic
including: belladonna lily,amaryllis spp.,amaryllidaceae,toxic,toxic,toxic
saint joseph lily,amaryllis spp.,amaryllidaceae,toxic,toxic,toxic
cape belladonna,amaryllis spp.,amaryllidaceae,toxic,toxic,toxic
naked lady,amaryllis spp.,amaryllidaceae,toxic,toxic,toxic
feather geranium,ambrosia mexicana,chenopodiaceae,toxic,toxic,unknown
jerusalem oak,ambrosia mexicana,chenopodiaceae,toxic,toxic,unknown
ambrosia mexicana,ambrosia mexicana,chenopodiaceae,toxic,toxic,unknown
bishop’s weed,ammi majus,apiaceae,toxic,toxic,toxic
